lemma,global_position,sentence_id,local_word_id,original_text
ulysses,1,1,1,ULYSSES
***,2,1,2,***
[,3,2,1,[
illustration,4,2,2,Illustration
],5,2,3,]
ulysses,6,3,1,Ulysses
by,7,4,1,by
james,8,4,2,James
joyce,9,4,3,Joyce
content,10,5,1,Contents
—,11,6,1,—
i,12,6,2,I
—,13,6,3,—
[,14,7,1,[
1,15,7,2,1
],16,7,3,]
[,17,7,4,[
2,18,7,5,2
],19,7,6,]
[,20,7,7,[
3,21,7,8,3
],22,7,9,]
—,23,8,1,—
ii,24,8,2,II
—,25,8,3,—
[,26,9,1,[
4,27,9,2,4
],28,9,3,]
[,29,9,4,[
5,30,9,5,5
],31,9,6,]
[,32,9,7,[
6,33,9,8,6
],34,9,9,]
[,35,9,10,[
7,36,9,11,7
],37,9,12,]
[,38,9,13,[
8,39,9,14,8
],40,9,15,]
[,41,9,16,[
9,42,9,17,9
],43,9,18,]
[,44,9,19,[
10,45,9,20,10
],46,9,21,]
[,47,9,22,[
11,48,9,23,11
],49,9,24,]
[,50,9,25,[
12,51,9,26,12
],52,9,27,]
[,53,9,28,[
13,54,9,29,13
],55,9,30,]
[,56,9,31,[
14,57,9,32,14
],58,9,33,]
[,59,9,34,[
15,60,9,35,15
],61,9,36,]
—,62,10,1,—
iii,63,10,2,III
—,64,10,3,—
[,65,11,1,[
16,66,11,2,16
],67,11,3,]
[,68,11,4,[
17,69,11,5,17
],70,11,6,]
[,71,11,7,[
18,72,11,8,18
],73,11,9,]
—,74,12,1,—
i,75,12,2,I
—,76,12,3,—
[,77,13,1,[
1,78,13,2,1
],79,13,3,]
stately,80,14,1,Stately
",",81,14,2,","
plump,82,14,3,plump
buck,83,14,4,Buck
mulligan,84,14,5,Mulligan
come,85,14,6,came
from,86,14,7,from
the,87,14,8,the
stairhead,88,14,9,stairhead
",",89,14,10,","
bear,90,14,11,bearing
a,91,14,12,a
bowl,92,14,13,bowl
of,93,14,14,of
lather,94,14,15,lather
on,95,14,16,on
which,96,14,17,which
a,97,14,18,a
mirror,98,14,19,mirror
and,99,14,20,and
a,100,14,21,a
razor,101,14,22,razor
lay,102,14,23,lay
cross,103,14,24,crossed
.,104,14,25,.
a,105,15,1,A
yellow,106,15,2,yellow
dressinggown,107,15,3,dressinggown
",",108,15,4,","
ungirdle,109,15,5,ungirdled
",",110,15,6,","
be,111,15,7,was
sustain,112,15,8,sustained
gently,113,15,9,gently
behind,114,15,10,behind
he,115,15,11,him
on,116,15,12,on
the,117,15,13,the
mild,118,15,14,mild
morning,119,15,15,morning
air,120,15,16,air
.,121,15,17,.
he,122,16,1,He
hold,123,16,2,held
the,124,16,3,the
bowl,125,16,4,bowl
aloft,126,16,5,aloft
and,127,16,6,and
inton,128,16,7,intoned
:,129,16,8,:
—,130,17,1,—
_introibo,131,17,2,_Introibo
ad,132,17,3,ad
altare,133,17,4,altare
dei_,134,17,5,Dei_
.,135,17,6,.
halt,136,18,1,Halted
",",137,18,2,","
he,138,18,3,he
peer,139,18,4,peered
down,140,18,5,down
the,141,18,6,the
dark,142,18,7,dark
wind,143,18,8,winding
stair,144,18,9,stairs
and,145,18,10,and
call,146,18,11,called
out,147,18,12,out
coarsely,148,18,13,coarsely
:,149,18,14,:
—,150,19,1,—
come,151,19,2,Come
up,152,19,3,up
",",153,19,4,","
kinch,154,19,5,Kinch
!,155,19,6,!
come,156,20,1,Come
up,157,20,2,up
",",158,20,3,","
you,159,20,4,you
fearful,160,20,5,fearful
jesuit,161,20,6,jesuit
!,162,20,7,!
solemnly,163,21,1,Solemnly
he,164,21,2,he
come,165,21,3,came
forward,166,21,4,forward
and,167,21,5,and
